household_key,recency_days,frequency,monetary,R,F,M,RFM_Score,segment,INCOME_DESC,HOUSEHOLD_SIZE_DESC,AGE_DESC,MARITAL_STATUS_CODE,HH_COMP_DESC,KID_CATEGORY_DESC
46,1,137,8433.43,5,4,5,14,Champions,150-174K,5+,45-54,A,2 Adults Kids,3+
47,4,111,2329.13,4,4,3,11,Loyal,,,,,,
48,3,50,1172.83,4,2,2,8,Potential Loyalists,35-49K,2,19-24,U,2 Adults No Kids,None/Unknown
49,10,121,6445.03,3,4,5,12,Loyal,35-49K,2,35-44,A,2 Adults No Kids,None/Unknown
50,37,15,351.39,1,1,1,3,Lost,,,,,,
51,2,83,3046.86,5,3,4,12,Potential Loyalists,,,,,,
52,1,139,5487.28,5,4,5,14,Champions,50-74K,2,45-54,B,2 Adults No Kids,None/Unknown
53,6,56,1962.26,3,2,3,8,At Risk,,,,,,
54,217,11,103.09,1,1,1,3,Lost,,,,,,
55,9,141,1072.79,3,4,2,9,Loyal,35-49K,2,65+,A,2 Adults No Kids,None/Unknown
56,3,201,6691.53,4,5,5,14,Champions,100-124K,4,55-64,A,2 Adults Kids,2
57,3,194,3105.87,4,5,4,13,Champions,35-49K,2,45-54,B,2 Adults No Kids,None/Unknown
58,1,268,10367.08,5,5,5,15,Champions,150-174K,4,25-34,A,2 Adults Kids,2
59,28,44,1688.33,2,2,3,7,At Risk,,,,,,
60,15,8,400.94,2,1,1,4,One-time Buyers,,,,,,
61,17,11,183.8,2,1,1,4,One-time Buyers,,,,,,
62,43,33,359.29,1,2,1,4,Lost,,,,,,
63,2,33,589.6,5,2,1,8,Potential Loyalists,,,,,,
64,1,264,3917.81,5,5,4,14,Champions,,,,,,
65,41,122,2042.17,1,4,3,8,Lost,,,,,,
66,27,29,395.95,2,1,1,4,One-time Buyers,,,,,,
67,3,227,9618.9,4,5,5,14,Champions,Under 15K,5+,45-54,A,2 Adults Kids,3+
68,6,553,4960.77,3,5,4,12,Loyal,,,,,,
69,1,183,5704.34,5,5,5,15,Champions,,,,,,
70,7,32,76.4,3,1,1,5,One-time Buyers,,,,,,
71,1,90,3376.03,5,3,4,12,Potential Loyalists,25-34K,2,35-44,A,Single Female,None/Unknown
72,18,107,6473.43,2,4,5,11,At Risk,,,,,,
73,50,164,2864.18,1,5,4,10,Lost,,,,,,
74,56,131,2047.64,1,4,3,8,Lost,15-24K,2,65+,A,2 Adults No Kids,None/Unknown
75,3,64,1167.09,4,3,2,9,Potential Loyalists,,,,,,
76,1,16,315.94,5,1,1,7,New Customers,,,,,,
77,2,87,6227.1,5,3,5,13,Potential Loyalists,100-124K,5+,35-44,A,2 Adults Kids,3+
78,3,210,2505.14,4,5,3,12,Loyal,25-34K,1,55-64,U,Single Male,None/Unknown
79,4,154,3950.12,4,4,4,12,Champions,,,,,,
80,18,94,3002.09,2,3,4,9,At Risk,50-74K,2,45-54,U,2 Adults No Kids,None/Unknown
81,6,152,5553.7,3,4,5,12,Loyal,,,,,,
82,4,51,566.51,4,2,1,7,Potential Loyalists,,,,,,
83,2,110,1183.74,5,4,2,11,Loyal,,,,,,
84,16,52,1208.09,2,2,2,6,At Risk,,,,,,
85,2,282,4696.49,5,5,4,14,Champions,35-49K,1,25-34,U,Single Male,None/Unknown
86,39,46,4019.44,1,2,4,7,Lost,35-49K,1,65+,B,Single Male,None/Unknown
87,5,45,1202.3,4,2,2,8,Potential Loyalists,,,,,,
88,4,229,11615.66,4,5,5,14,Champions,,,,,,
89,74,11,177.56,1,1,1,3,Lost,,,,,,
90,35,10,490.41,1,1,1,3,Lost,,,,,,
91,2,181,2899.66,5,5,4,14,Champions,,,,,,
92,7,57,1587.38,3,2,2,7,At Risk,,,,,,
93,161,106,3346.7200000000003,1,4,4,9,Lost,,,,,,
94,14,36,442.64,2,2,1,5,Low Value,,,,,,
95,3,308,6500.18,4,5,5,14,Champions,,,,,,
96,4,59,1182.43,4,2,2,8,Potential Loyalists,,,,,,
97,6,180,5323.95,3,5,5,13,Loyal,75-99K,1,45-54,U,Single Female,None/Unknown
98,2,205,2547.3,5,5,3,13,Loyal,35-49K,2,35-44,U,1 Adult Kids,1
99,3,255,6926.15,4,5,5,14,Champions,,,,,,
100,21,33,2294.62,2,2,3,7,At Risk,,,,,,
101,4,242,6651.58,4,5,5,14,Champions,Under 15K,4,45-54,A,2 Adults Kids,2
102,533,8,304.84000000000003,1,1,1,3,Lost,,,,,,
103,3,51,541.99,4,2,1,7,Potential Loyalists,,,,,,
104,1,128,6546.74,5,4,5,14,Champions,35-49K,5+,35-44,A,2 Adults Kids,3+
105,2,169,4591.67,5,5,4,14,Champions,Under 15K,3,25-34,B,1 Adult Kids,2
106,7,67,2014.66,3,3,3,9,At Risk,,,,,,
107,30,41,1222.83,1,2,2,5,Lost,,,,,,
108,23,62,2671.16,2,3,3,8,At Risk,,,,,,
109,4,104,3501.07,4,4,4,12,Champions,15-24K,2,25-34,A,Single Female,None/Unknown
110,1,185,3461.32,5,5,4,14,Champions,35-49K,1,25-34,U,Single Female,None/Unknown
111,25,51,1515.65,2,2,2,6,At Risk,,,,,,
112,14,80,1342.65,2,3,2,7,At Risk,,,,,,
113,3,223,15324.95,4,5,5,14,Champions,125-149K,4,35-44,A,2 Adults Kids,2
114,4,88,3315.63,4,3,4,11,Potential Loyalists,35-49K,2,25-34,U,2 Adults No Kids,None/Unknown
115,4,201,13262.1,4,5,5,14,Champions,,,,,,
116,2,83,647.72,5,3,1,9,Potential Loyalists,,,,,,
117,1,94,2568.21,5,3,3,11,Potential Loyalists,35-49K,2,65+,B,2 Adults No Kids,None/Unknown
118,5,90,4526.21,4,3,4,11,Potential Loyalists,35-49K,1,45-54,B,Single Female,None/Unknown
119,3,62,2593.01,4,3,3,10,Potential Loyalists,125-149K,1,45-54,U,Single Male,None/Unknown
120,59,19,242.32,1,1,1,3,Lost,,,,,,
121,43,112,2225.58,1,4,3,8,Lost,25-34K,3,45-54,U,2 Adults Kids,1
122,41,132,2354.22,1,4,3,8,Lost,,,,,,
123,21,174,3222.65,2,5,4,11,At Risk,35-49K,2,45-54,B,2 Adults No Kids,None/Unknown
124,1,61,683.41,5,3,1,9,Potential Loyalists,,,,,,
125,8,358,10601.5,3,5,5,13,Loyal,,,,,,
126,13,31,853.45,2,1,2,5,One-time Buyers,,,,,,
127,1,191,4658.2300000000005,5,5,4,14,Champions,25-34K,1,45-54,U,Single Female,None/Unknown
128,1,41,1381.08,5,2,2,9,Potential Loyalists,,,,,,
129,22,40,475.73,2,2,1,5,Low Value,,,,,,
130,374,20,511.62,1,1,1,3,Lost,,,,,,
131,3,354,6156.22,4,5,5,14,Champions,50-74K,2,45-54,U,2 Adults No Kids,None/Unknown
132,7,98,2875.2400000000002,3,3,4,10,At Risk,,,,,,
133,6,75,3823.89,3,3,4,10,At Risk,Under 15K,2,45-54,A,Single Male,None/Unknown
134,3,86,5535.09,4,3,5,12,Potential Loyalists,25-34K,2,55-64,A,Single Female,None/Unknown
135,1,74,717.5,5,3,1,9,Potential Loyalists,,,,,,
136,18,77,2804.82,2,3,4,9,At Risk,50-74K,1,45-54,U,Unknown,None/Unknown
137,86,38,1062.17,1,2,2,5,Lost,,,,,,
138,4,68,3529.19,4,3,4,11,Potential Loyalists,,,,,,
139,2,83,3073.33,5,3,4,12,Potential Loyalists,75-99K,1,35-44,B,Single Male,None/Unknown
140,20,140,1720.64,2,4,3,9,At Risk,,,,,,
141,4,52,448.34,4,2,1,7,Potential Loyalists,,,,,,
142,2,176,2324.19,5,5,3,13,Loyal,,,,,,
143,2,408,6574.2300000000005,5,5,5,15,Champions,,,,,,
144,63,88,2126.31,1,3,3,7,Lost,,,,,,
145,8,59,1470.49,3,2,2,7,At Risk,,,,,,
146,7,41,843.02,3,2,2,7,At Risk,,,,,,
147,17,36,1487.21,2,2,2,6,At Risk,,,,,,
148,13,55,1231.76,2,2,2,6,At Risk,,,,,,
149,61,215,11920.93,1,5,5,11,Lost,35-49K,2,45-54,U,2 Adults No Kids,None/Unknown
150,104,6,230.35,1,1,1,3,Lost,,,,,,
151,6,49,1226.14,3,2,2,7,At Risk,,,,,,
152,16,37,1454.28,2,2,2,6,At Risk,,,,,,
153,10,92,1558.65,3,3,2,8,At Risk,,,,,,
154,75,30,867.1800000000001,1,1,2,4,Lost,,,,,,
155,7,52,2101.05,3,2,3,8,At Risk,50-74K,3,35-44,B,2 Adults Kids,1
156,2,587,5224.07,5,5,5,15,Champions,,,,,,
157,3,172,2748.9500000000003,4,5,3,12,Loyal,15-24K,2,19-24,U,2 Adults No Kids,None/Unknown
158,8,180,1869.79,3,5,3,11,Loyal,50-74K,1,45-54,U,Unknown,None/Unknown
159,15,86,2143.87,2,3,3,8,At Risk,Under 15K,2,45-54,U,2 Adults No Kids,None/Unknown
160,9,57,1536.09,3,2,2,7,At Risk,,,,,,
161,2,266,6071.52,5,5,5,15,Champions,75-99K,3,19-24,A,2 Adults Kids,1
162,1,71,3037.54,5,3,4,12,Potential Loyalists,,,,,,
163,58,17,272.52,1,1,1,3,Lost,,,,,,
164,4,116,4272.41,4,4,4,12,Champions,35-49K,2,45-54,U,2 Adults No Kids,None/Unknown
165,2,174,2995.47,5,5,4,14,Champions,35-49K,2,55-64,A,2 Adults No Kids,None/Unknown
166,6,122,3059.69,3,4,4,11,Loyal,50-74K,3,25-34,A,2 Adults Kids,1
167,3,20,1268.02,4,1,2,7,One-time Buyers,,,,,,
168,12,37,510.8,2,2,1,5,Low Value,,,,,,
169,37,24,255.58,1,1,1,3,Lost,,,,,,
170,19,45,2024.51,2,2,3,7,At Risk,100-124K,4,25-34,A,2 Adults Kids,2
171,11,25,740.46,2,1,1,4,One-time Buyers,,,,,,
172,3,159,1770.8700000000001,4,4,3,11,Loyal,,,,,,
173,318,10,234.97,1,1,1,3,Lost,,,,,,
174,43,27,1208.39,1,1,2,4,Lost,,,,,,
175,57,51,1154.02,1,2,2,5,Lost,,,,,,
176,101,23,788.29,1,1,2,4,Lost,,,,,,
177,20,50,1130.58,2,2,2,6,At Risk,,,,,,
178,1,119,2028.47,5,4,3,12,Loyal,25-34K,5+,25-34,A,1 Adult Kids,3+
179,190,38,620.5600000000001,1,2,1,4,Lost,,,,,,
180,16,68,2103.4,2,3,3,8,At Risk,,,,,,
181,120,39,1670.82,1,2,3,6,Lost,,,,,,
182,56,36,1162.34,1,2,2,5,Lost,,,,,,
183,38,136,1560.67,1,4,2,7,Lost,,,,,,
184,1,257,7090.07,5,5,5,15,Champions,25-34K,1,45-54,U,Single Male,None/Unknown
185,7,68,2137.62,3,3,3,9,At Risk,,,,,,
186,6,3,59.52,3,1,1,5,One-time Buyers,,,,,,
187,7,59,701.0,3,2,1,6,Low Value,,,,,,
188,16,43,1847.6200000000001,2,2,3,7,At Risk,,,,,,
189,20,38,801.99,2,2,2,6,At Risk,,,,,,
190,43,23,696.28,1,1,1,3,Lost,,,,,,
191,4,34,552.85,4,2,1,7,Potential Loyalists,,,,,,
192,2,95,3778.08,5,3,4,12,Potential Loyalists,35-49K,2,45-54,A,Single Male,None/Unknown
193,18,136,4814.66,2,4,4,10,At Risk,75-99K,2,45-54,A,2 Adults No Kids,None/Unknown
194,2,73,1882.81,5,3,3,11,Potential Loyalists,,,,,,
195,1,91,4166.72,5,3,4,12,Potential Loyalists,,,,,,
196,1,186,5261.19,5,5,5,15,Champions,,,,,,
197,2,55,1929.23,5,2,3,10,Potential Loyalists,,,,,,
198,3,461,8659.17,4,5,5,14,Champions,Under 15K,3,35-44,A,2 Adults Kids,1
199,11,54,667.97,2,2,1,5,Low Value,,,,,,
200,2,80,1166.63,5,3,2,10,Potential Loyalists,,,,,,
201,8,48,1435.17,3,2,2,7,At Risk,15-24K,5+,45-54,A,2 Adults Kids,3+
202,16,37,964.88,2,2,2,6,At Risk,,,,,,
203,2,42,908.83,5,2,2,9,Potential Loyalists,,,,,,
204,6,57,929.27,3,2,2,7,At Risk,,,,,,
205,4,106,3749.64,4,4,4,12,Champions,,,,,,
206,57,15,386.6,1,1,1,3,Lost,,,,,,
207,59,21,995.72,1,1,2,4,Lost,,,,,,
208,11,140,4296.33,2,4,4,10,At Risk,50-74K,2,45-54,U,2 Adults No Kids,None/Unknown
209,2,196,6876.56,5,5,5,15,Champions,25-34K,3,45-54,U,2 Adults Kids,1
210,4,147,3772.56,4,4,4,12,Champions,,,,,,
211,2,112,2244.06,5,4,3,12,Loyal,35-49K,2,65+,A,Single Female,None/Unknown
212,15,109,3052.66,2,4,4,10,At Risk,Under 15K,1,35-44,U,Single Female,None/Unknown
213,37,9,606.5,1,1,1,3,Lost,,,,,,
214,8,86,2657.91,3,3,3,9,At Risk,Under 15K,2,55-64,B,2 Adults No Kids,None/Unknown
215,1,142,1672.66,5,4,3,12,Loyal,,,,,,
216,1,120,2624.5,5,4,3,12,Loyal,50-74K,1,35-44,U,Unknown,None/Unknown
217,21,65,2435.12,2,3,3,8,At Risk,,,,,,
218,1,164,9211.72,5,5,5,15,Champions,15-24K,2,45-54,A,2 Adults No Kids,None/Unknown
219,3,228,11884.79,4,5,5,14,Champions,150-174K,2,55-64,A,2 Adults No Kids,None/Unknown
220,33,91,2525.2400000000002,1,3,3,7,Lost,35-49K,2,45-54,A,2 Adults No Kids,None/Unknown
221,17,79,2879.29,2,3,4,9,At Risk,15-24K,1,65+,U,Unknown,None/Unknown
222,3,130,5897.9,4,4,5,13,Champions,35-49K,2,35-44,A,2 Adults No Kids,None/Unknown
223,14,118,2738.98,2,4,3,9,At Risk,,,,,,
224,6,56,1600.8,3,2,2,7,At Risk,,,,,,
225,38,44,729.82,1,2,1,4,Lost,,,,,,
226,44,50,1205.06,1,2,2,5,Lost,,,,,,
227,7,135,1390.25,3,4,2,9,Loyal,,,,,,
228,5,87,2404.81,4,3,3,10,Potential Loyalists,,,,,,
229,20,40,1004.89,2,2,2,6,At Risk,,,,,,
230,1,168,4521.01,5,5,4,14,Champions,25-34K,1,25-34,U,Single Female,None/Unknown
231,259,9,325.68,1,1,1,3,Lost,,,,,,
232,40,631,12695.57,1,5,5,11,Lost,35-49K,2,35-44,U,2 Adults No Kids,None/Unknown
233,16,15,645.39,2,1,1,4,One-time Buyers,,,,,,
234,16,19,260.64,2,1,1,4,One-time Buyers,,,,,,
235,4,200,12156.64,4,5,5,14,Champions,250K+,5+,35-44,A,2 Adults Kids,3+
236,4,47,1591.78,4,2,2,8,Potential Loyalists,,,,,,
237,58,6,549.59,1,1,1,3,Lost,,,,,,
238,60,28,693.4,1,1,1,3,Lost,,,,,,
239,1,264,4671.2,5,5,4,14,Champions,50-74K,1,45-54,U,Unknown,None/Unknown
240,8,31,365.61,3,1,1,5,One-time Buyers,,,,,,
241,40,16,199.73,1,1,1,3,Lost,,,,,,
242,1,87,5231.8,5,3,5,13,Potential Loyalists,75-99K,5+,45-54,A,2 Adults Kids,3+
243,2,250,8074.12,5,5,5,15,Champions,50-74K,2,65+,U,2 Adults No Kids,None/Unknown
244,35,41,1698.95,1,2,3,6,Lost,,,,,,
245,28,48,1396.45,2,2,2,6,At Risk,,,,,,
246,20,47,847.25,2,2,2,6,At Risk,,,,,,
247,8,59,1243.06,3,2,2,7,At Risk,,,,,,
248,8,57,6039.01,3,2,5,10,At Risk,125-149K,4,35-44,A,2 Adults Kids,2
249,8,137,2823.23,3,4,4,11,Loyal,Under 15K,3,35-44,A,Unknown,1
250,6,121,5991.84,3,4,5,12,Loyal,75-99K,4,45-54,A,1 Adult Kids,2
251,9,83,2268.51,3,3,3,9,At Risk,,,,,,
252,47,9,93.78,1,1,1,3,Lost,,,,,,
253,2,385,10993.710000000001,5,5,5,15,Champions,Under 15K,1,45-54,U,Single Female,None/Unknown
254,4,43,442.14,4,2,1,7,Potential Loyalists,,,,,,
255,15,18,672.09,2,1,1,4,One-time Buyers,,,,,,
256,1,125,9850.35,5,4,5,14,Champions,50-74K,2,25-34,U,2 Adults No Kids,None/Unknown
257,14,122,2689.9900000000002,2,4,3,9,At Risk,25-34K,3,25-34,U,1 Adult Kids,2
258,2,211,2631.11,5,5,3,13,Loyal,,,,,,
259,18,54,1158.33,2,2,2,6,At Risk,,,,,,
260,13,30,425.04,2,1,1,4,One-time Buyers,,,,,,
261,62,44,1241.8700000000001,1,2,2,5,Lost,,,,,,
262,15,218,4802.27,2,5,4,11,At Risk,,,,,,
263,4,325,5870.33,4,5,5,14,Champions,35-49K,2,45-54,U,2 Adults No Kids,None/Unknown
264,32,61,1783.07,1,3,3,7,Lost,75-99K,2,45-54,U,2 Adults No Kids,None/Unknown
265,2,53,1881.76,5,2,3,10,Potential Loyalists,,,,,,
266,15,59,3130.2200000000003,2,2,4,8,At Risk,,,,,,
267,37,26,385.56,1,1,1,3,Lost,,,,,,
268,36,30,809.21,1,1,2,4,Lost,,,,,,
269,5,84,1764.76,4,3,3,10,Potential Loyalists,,,,,,
270,4,41,923.46,4,2,2,8,Potential Loyalists,,,,,,
271,8,98,1375.52,3,3,2,8,At Risk,,,,,,
272,255,7,401.62,1,1,1,3,Lost,,,,,,
273,2,127,2500.86,5,4,3,12,Loyal,,,,,,
274,38,15,120.07000000000001,1,1,1,3,Lost,,,,,,
275,1,321,6284.99,5,5,5,15,Champions,,,,,,
276,3,173,5758.71,4,5,5,14,Champions,35-49K,1,35-44,U,Single Male,None/Unknown
277,18,31,754.05,2,1,1,4,One-time Buyers,,,,,,
278,6,84,2053.56,3,3,3,9,At Risk,,,,,,
279,57,53,1816.6200000000001,1,2,3,6,Lost,,,,,,
280,4,105,2375.86,4,4,3,11,Loyal,,,,,,
281,6,79,1495.08,3,3,2,8,At Risk,50-74K,1,35-44,B,Single Female,None/Unknown
282,1,110,4162.56,5,4,4,13,Champions,35-49K,1,45-54,U,Single Female,None/Unknown
283,12,78,6023.37,2,3,5,10,At Risk,50-74K,2,25-34,A,2 Adults No Kids,None/Unknown
284,7,21,534.98,3,1,1,5,One-time Buyers,,,,,,
285,2,202,4227.64,5,5,4,14,Champions,,,,,,
286,1,41,1245.24,5,2,2,9,Potential Loyalists,,,,,,
287,3,271,3229.28,4,5,4,13,Champions,,,,,,
288,3,92,3114.77,4,3,4,11,Potential Loyalists,,,,,,
289,14,183,5970.47,2,5,5,12,At Risk,100-124K,1,45-54,B,Single Male,None/Unknown
290,2,290,5524.34,5,5,5,15,Champions,35-49K,2,25-34,U,2 Adults No Kids,None/Unknown
291,24,61,2474.4900000000002,2,3,3,8,At Risk,,,,,,
292,8,83,977.07,3,3,2,8,At Risk,,,,,,
293,18,108,3957.66,2,4,4,10,At Risk,,,,,,
294,2,269,5411.36,5,5,5,15,Champions,50-74K,4,25-34,A,2 Adults Kids,2
295,1,5,149.31,5,1,1,7,New Customers,,,,,,
296,15,12,149.25,2,1,1,4,One-time Buyers,,,,,,
297,14,114,3535.62,2,4,4,10,At Risk,,,,,,
298,420,7,224.86,1,1,1,3,Lost,,,,,,
299,2,11,242.24,5,1,1,7,New Customers,,,,,,
300,27,107,4974.31,2,4,4,10,At Risk,Under 15K,2,55-64,A,Single Female,None/Unknown
301,1,81,7211.68,5,3,5,13,Potential Loyalists,35-49K,4,35-44,A,2 Adults Kids,2
302,21,95,1797.53,2,3,3,8,At Risk,35-49K,3,45-54,U,2 Adults Kids,1
303,1,199,4879.67,5,5,4,14,Champions,,,,,,
304,1,304,8586.28,5,5,5,15,Champions,50-74K,2,25-34,U,2 Adults No Kids,None/Unknown
305,3,141,3827.02,4,4,4,12,Champions,,,,,,
306,1,185,5716.7300000000005,5,5,5,15,Champions,35-49K,4,19-24,U,2 Adults Kids,2
307,2,415,2582.03,5,5,3,13,Loyal,,,,,,
308,2,83,2465.26,5,3,3,11,Potential Loyalists,,,,,,
309,88,22,2325.59,1,1,3,5,Lost,75-99K,2,25-34,A,Single Male,None/Unknown
310,6,9,184.02,3,1,1,5,One-time Buyers,,,,,,
311,3,51,1351.13,4,2,2,8,Potential Loyalists,,,,,,
312,16,40,2578.05,2,2,3,7,At Risk,,,,,,
313,626,4,92.54,1,1,1,3,Lost,,,,,,
314,5,41,3004.01,4,2,4,10,Potential Loyalists,75-99K,3,45-54,U,2 Adults Kids,1
315,85,11,182.19,1,1,1,3,Lost,,,,,,
316,1,53,1037.78,5,2,2,9,Potential Loyalists,,,,,,
317,2,61,6083.3,5,3,5,13,Potential Loyalists,75-99K,2,45-54,A,Single Male,None/Unknown
318,1,92,1242.25,5,3,2,10,Potential Loyalists,,,,,,
319,22,109,3758.5,2,4,4,10,At Risk,35-49K,4,45-54,U,1 Adult Kids,3+
320,23,19,497.41,2,1,1,4,One-time Buyers,,,,,,
321,22,106,5935.66,2,4,5,11,At Risk,100-124K,2,45-54,A,2 Adults No Kids,None/Unknown
322,4,71,2418.88,4,3,3,10,Potential Loyalists,,,,,,
323,1,14,156.99,5,1,1,7,New Customers,,,,,,
324,1,150,8554.87,5,4,5,14,Champions,50-74K,1,45-54,U,Single Female,None/Unknown
325,14,75,2850.58,2,3,4,9,At Risk,75-99K,4,35-44,A,2 Adults Kids,2
326,1,26,739.72,5,1,1,7,New Customers,,,,,,
327,41,27,226.71,1,1,1,3,Lost,,,,,,
328,4,239,17332.13,4,5,5,14,Champions,,,,,,
329,6,146,3026.71,3,4,4,11,Loyal,75-99K,1,25-34,U,Single Female,None/Unknown
330,26,189,1679.38,2,5,3,10,At Risk,,,,,,
331,21,65,1273.3,2,3,2,7,At Risk,,,,,,
332,5,118,5519.02,4,4,5,13,Champions,125-149K,5+,35-44,A,2 Adults Kids,3+
333,34,39,1248.81,1,2,2,5,Lost,,,,,,
334,1,466,4827.8,5,5,4,14,Champions,Under 15K,2,45-54,A,2 Adults No Kids,None/Unknown
335,6,147,2822.18,3,4,4,11,Loyal,,,,,,
336,25,120,3089.7400000000002,2,4,4,10,At Risk,,,,,,
337,13,61,933.59,2,3,2,7,At Risk,,,,,,
338,3,154,2690.97,4,4,3,11,Loyal,,,,,,
339,16,67,1668.92,2,3,3,8,At Risk,,,,,,
340,85,29,1057.56,1,1,2,4,Lost,,,,,,
341,75,30,393.5,1,1,1,3,Lost,,,,,,
342,9,48,2125.51,3,2,3,8,At Risk,,,,,,
343,7,67,1650.64,3,3,3,9,At Risk,,,,,,
344,1,48,2237.91,5,2,3,10,Potential Loyalists,,,,,,
345,1,182,5741.08,5,5,5,15,Champions,,,,,,
346,6,124,5351.41,3,4,5,12,Loyal,50-74K,2,65+,A,2 Adults No Kids,None/Unknown
347,43,15,540.76,1,1,1,3,Lost,,,,,,
348,3,126,2961.83,4,4,4,12,Champions,,,,,,
349,6,34,869.16,3,2,2,7,At Risk,,,,,,
350,2,103,3083.25,5,4,4,13,Champions,50-74K,4,45-54,A,1 Adult Kids,2
351,3,296,7659.67,4,5,5,14,Champions,50-74K,1,45-54,U,Unknown,None/Unknown
352,18,6,178.7,2,1,1,4,One-time Buyers,,,,,,
353,12,125,3799.2000000000003,2,4,4,10,At Risk,150-174K,2,45-54,A,2 Adults No Kids,None/Unknown
354,3,157,8729.87,4,4,5,13,Champions,35-49K,5+,25-34,A,2 Adults Kids,3+
355,341,7,340.34,1,1,1,3,Lost,,,,,,
356,5,234,2837.33,4,5,4,13,Champions,,,,,,
357,16,22,1704.27,2,1,3,6,One-time Buyers,,,,,,
358,1,371,12729.34,5,5,5,15,Champions,50-74K,2,35-44,U,2 Adults No Kids,None/Unknown
359,658,2,172.85,1,1,1,3,Lost,,,,,,
360,2,37,447.6,5,2,1,8,Potential Loyalists,,,,,,
361,1,217,8747.1,5,5,5,15,Champions,50-74K,1,45-54,U,Unknown,None/Unknown
362,6,91,2987.4900000000002,3,3,4,10,At Risk,50-74K,1,65+,U,Single Male,None/Unknown
363,131,4,52.4,1,1,1,3,Lost,,,,,,
364,7,86,2566.92,3,3,3,9,At Risk,,,,,,
365,15,170,7048.43,2,5,5,12,At Risk,,,,,,
366,37,48,615.78,1,2,1,4,Lost,,,,,,
367,4,114,7186.37,4,4,5,13,Champions,50-74K,2,55-64,A,2 Adults No Kids,None/Unknown
368,19,53,1346.46,2,2,2,6,At Risk,,,,,,
